male,supplemental_o2_duration,hospital_stay,sga,m24_ec_ss,m24_cong_ss,m24_rc_ss,m24_fm_ss,m24_gm_ss
-0.00047856351843063305,-0.0040579022306597105,0.001498971681695935,-0.0018707482993197246,-0.0004904287296313842,-0.0058851447555766465,0.0013605442176870715,-0.005679481094763489,0.0023137161841480826
-1.054685440068058e-05,-0.0017033169857090177,0.0004205558192269133,-0.0016202605073036957,0.00013579075040869373,-0.007007066392448449,0.0017850551073142406,-0.006896324421241363,0.0016070769393028601
-0.0003005853504192465,-0.0030335389969941536,0.0012695775984812516,-0.0032273374466065367,0.0006565416864420213,-0.005707166587565258,0.0014752412592944162,-0.007356430944470812,0.0029346622369878193
-1.1865211200766737e-05,-0.005078310393925015,0.0015068818224964423,-0.0014159152032906146,-1.582028160100786e-05,-0.005980066445182723,0.0014871064704951725,-0.005370985603543743,0.0015899383009017557
-0.0003005853504192413,-0.00022939408321468423,0.000972947318462267,-0.0024323682961556693,0.0006881822496440492,-0.004928017718715392,0.0018786584401202329,-0.011398512893529502,0.0024600537889574413
-0.0004996572272319855,-0.0009228497600590677,0.0006987291040447133,-0.001508200179296519,0.0005405262880345957,-0.007511997046880761,0.0011377419184728128,-0.006788219163634444,0.001564889521700157
-0.00015029267520962238,-0.006486315456415128,0.0020645467489321346,-0.002491694352159462,-4.746084480303399e-05,-0.005655750672361967,0.0010995095712703646,-0.0040460370194589455,0.00242445815535516
-0.0005062490112324042,-0.0031126404049992137,0.0011746559088751784,-0.0019617149185255454,-0.0002689447872172082,-0.00640325897800981,0.0024640088593576963,-0.006403258978009808,0.0017283657649106166
-0.002083003744133312,-0.005203554289933029,0.0017731898961134826,0.005518641565153191,0.0002860834256183109,-0.007113853293255279,0.0011759742656752593,-0.009755840320624374,0.002113325950535252
-0.00029531192321890533,-0.0058482307651742905,0.000990085956863368,-0.001450192480092807,0.0006301745504403364,-0.004191056267468226,0.0011087380688709556,-0.006093445129989981,0.0018602014449190518
-0.0004812002320308019,-0.0026604440225702734,0.0006657701840426088,-0.0021265095185360903,1.3183568000861567e-06,-0.006844908506038069,0.0021410114433370233,-0.006200232030796815,0.002216157780941832
-0.0003757316880240516,-0.006589147286821707,0.0008819806992564471,-0.0014475557664926373,3.955070400253613e-05,-0.0030216737857933903,0.0015662078785002335,-0.006165954753994621,0.0018232874545166915
-0.000283446712018149,-0.006536413014818333,0.0018839318673205705,-0.0020671834625322957,0.0005036122976322336,-0.0033921320466170956,0.0016426725729051265,-0.00710989822285503,0.002069820176132473
-0.0021963824289405725,-0.004193692981068398,0.0015411590992986364,-0.0031020935505985253,0.0005365712176343459,-0.0012867162368823482,-0.0007250962400464078,-0.006024890576385598,0.002162105152138369
