m24_ec_ss,m24_cong_ss,m24_rc_ss,m24_fm_ss,m24_gm_ss
0.14900332225913643,0.16782945736434113,0.17142857142857126,0.17834994462901443,0.15398671096345495
-0.04307862679955707,-0.043355481727574724,-0.042801771871539315,-0.03311184939091917,-0.01705426356589146
-0.06162790697674415,0.005370985603543654,-0.032834994462901425,-0.004042081949058751,-0.08626799557032107
-0.05094130675526028,-0.04595791805094132,-0.042081949058693224,-0.018549280177187197,-0.02187153931339969
-0.06339977851605762,-0.03294573643410856,-0.04125138427464008,-0.021871539313399815,-0.019933554817275656
-0.006976744186046616,-0.06151716500553702,-0.0443521594684385,-0.014451827242524966,-0.05210409745293465
-0.06522702104097453,-0.06052048726467325,-0.028128460686600243,-0.014285714285714346,-0.011240310077519355
-0.04152823920265784,-0.043466223698781836,-0.04097452934662235,-0.03654485049833889,-0.016888150609080832
0.010741971207087364,-0.06400885935769653,-0.06982281284606862,-0.016943521594684444,-0.039368770764119515
0.0026024363233664444,-0.0151162790697675,-0.04473975636766331,-0.07436323366555916,-0.047785160575858215
-0.059523809523809576,-0.05066445182724248,-0.043743078626799534,-0.015227021040974578,-0.010243632336655595
-0.04379844961240313,-0.02414174972314509,-0.03272425249169436,-0.04795127353266884,-0.030786267995570327
-0.043244739756367695,-0.031063122923588066,-0.03383167220376522,-0.04850498338870429,-0.022757475083056478
0.07165005537098575,-0.052657807308969816,0.09241417497231458,-0.16256921373200475,-0.1282392026578075
-0.052491694352159474,-0.04806201550387593,-0.04667774086378737,-0.014562569213732071,-0.01760797342192688
-0.04961240310077521,-0.017774086378737577,-0.051550387596899214,-0.03438538205980067,-0.02607973421926907
-0.06666666666666668,-0.017386489479512768,-0.04174972314507197,-0.02098560354374311,-0.03261351052048722
-0.046622369878183884,-0.03499446290143965,-0.030011074197120693,-0.04883720930232556,-0.01893687707641195
0.11423034330011061,0.16517165005537093,0.2656699889258032,0.17292358803986702,0.10260243632336641
0.21965669988925818,0.21744186046511632,-0.015393133997785635,0.19667774086378742,0.20221483942414187
