proportion,epv,auc_roc
0.1,5.0,0.9533636363636364
0.2,4.5,0.9562393162393162
0.30000000000000004,3.9,0.9389713600239916
0.4,3.3,0.9800041228612658
0.5,2.8,0.9057377049180328
0.6,2.2,0.9373840445269017
0.7000000000000001,1.7,1.0
0.8,1.1,1.0
0.9,0.6,0.9965277777777779
