male,supplemental_o2_duration,hospital_stay,sga,m24_ec_ss,m24_cong_ss,m24_rc_ss,m24_fm_ss,m24_gm_ss,m_chat_rf_r,m_chat_rf_f
0.0747334522251466,0.0994328668747274,0.08439305249936463,0.0013537127324494314,0.04206193400545543,0.10165166136926959,0.1008514187916184,0.09821470519144934,0.09127751170940532,0.08586038361785905,0.03412278935534774
-0.018797490807457563,-0.013543838959121295,-0.012697453893467096,-0.00343599737287439,-0.025655582881496487,-0.0249924494110541,-0.025981217011117434,-0.01969133671791476,-0.0071748572579137,-0.019083574233075933,-0.014992713082414205
0.014296380990733114,-0.02857790050481079,-0.03397129817395587,-0.007912657663488181,-0.025782984088631864,-0.019772595437047298,-0.011944192758146278,-0.006123647485773753,-0.025255641368598133,-0.014576951287914764,-0.026425023850273177
-0.030782552626406414,-0.007555742522519885,-0.005093052019962257,-0.005588754176793948,-0.052244082974980004,-0.02010913597292341,-0.017776962793574116,-0.012651191554846009,-0.00995647025547358,-0.012764570239653297,-0.011523996490774041
-0.020130349532342887,-0.07414606434540005,-0.006675200030681775,-0.004087265632115989,-0.025174382649465688,0.0011017867330160083,-0.010618405219734091,-0.007538723734736963,0.0023041281346929832,-0.024123652279798555,-0.016958383071339955
-0.03948346780572694,-0.02122949955175868,-0.02083267415493318,-0.007183726203659697,0.007148130570057475,-0.0236051785055108,-0.012872435796023832,-0.01192849232716338,-0.004311026736275927,-0.029673574856299137,-0.022074566260612882
0.01062475730249815,-0.010012800046022625,-0.006026089082567429,-0.011128129898893953,-0.08979052508952856,-0.019478601870628432,-0.008869784700349437,-0.0024572972247390704,-0.002537716989544185,-0.028886395996030576,-0.01748392803210086
0.0033511431351962943,-0.005907676671796188,-0.009738821532841398,-0.0033751132588341185,-0.039094672400320205,-0.02932433015489499,-0.020955401187959306,-0.03748364039061724,-0.0066565033342441534,-0.021283672031180388,-0.01557782380041528
-0.13345989558614169,-0.011273268997521402,-0.014356905552918783,0.0961609449981544,0.05208564045773368,-0.02486816431999164,-0.08741232927279444,-0.030522596635553404,-0.00011601539840745632,-0.017754311026736327,-0.014529610293729928
-0.037404898534466595,-0.010237519955127936,-0.01820039502763749,-0.02353974006797925,0.01521072135690075,-0.0157245209570791,-0.006565896266893002,-0.02909134055313454,-0.011760222059225365,-0.029468390597958728,-0.019264308965305732
0.007994755336948,-0.006530899886381613,-0.013427224307622894,-0.0038823210750120593,-0.08400545560014007,-0.017899090573509243,-0.011582843144304956,-0.010016635265804626,0.0035888069110661157,-0.02938197830224415,-0.02090362572090146
-0.028413825008509384,-0.01925520031832327,-0.009074849108071645,-0.011914589655453391,-0.02806709717008716,-0.007901511555996594,-0.005739406403858237,-0.02502432967549242,-0.013048376503526084,-0.022578777811336066,-0.015028548417252707
